Timestamp,LocomotiveId,SpeedKmh,Temperature,Pressure,FuelOrVoltage,HealthScore,HealthGrade
2026-04-05T03:33:39.7380770,KZ8A-003,80.74,56.60,0.706,26.35,91,A
2026-04-05T03:33:44.7378750,KZ8A-003,80.34,56.59,0.705,26.35,91,A
2026-04-05T03:33:49.7378970,KZ8A-003,79.53,56.65,0.707,26.31,91,A
2026-04-05T03:33:54.7411850,KZ8A-003,79.82,56.66,0.707,26.26,91,A
2026-04-05T03:33:59.7377680,KZ8A-003,79.95,56.89,0.709,26.29,91,A
2026-04-05T03:34:04.7380070,KZ8A-003,78.33,56.88,0.711,26.25,91,A
2026-04-05T03:34:09.7377070,KZ8A-003,79.61,57.03,0.709,26.28,91,A
2026-04-05T03:34:14.7390050,KZ8A-003,80.92,57.13,0.714,26.27,91,A
2026-04-05T03:34:19.7375480,KZ8A-003,80.70,57.45,0.714,26.24,91,A
2026-04-05T03:34:24.7378390,KZ8A-003,81.20,57.72,0.717,26.16,90,A
2026-04-05T03:34:29.7381950,KZ8A-003,81.34,57.71,0.716,26.16,90,A
2026-04-05T03:34:34.7379760,KZ8A-003,81.46,57.64,0.717,25.93,90,A
2026-04-05T03:34:39.7366090,KZ8A-003,80.13,57.58,0.715,25.92,90,A
2026-04-05T03:34:44.7370010,KZ8A-003,79.87,57.98,0.717,25.92,90,A
2026-04-05T03:34:49.7376190,KZ8A-003,79.94,58.19,0.719,25.94,90,A
2026-04-05T03:34:54.7363400,KZ8A-003,79.07,58.13,0.719,26.05,90,A
2026-04-05T03:34:59.7365770,KZ8A-003,79.04,58.31,0.717,26.08,90,A
2026-04-05T03:35:04.7360620,KZ8A-003,78.26,58.31,0.716,26.05,90,A
2026-04-05T03:35:09.7374710,KZ8A-003,78.93,58.55,0.718,26.09,90,A
2026-04-05T03:35:14.7366330,KZ8A-003,78.15,58.75,0.717,25.94,90,A
2026-04-05T03:35:19.7361430,KZ8A-003,77.88,58.85,0.714,26.01,90,A
2026-04-05T03:35:24.7373600,KZ8A-003,78.95,58.91,0.713,25.92,90,A
2026-04-05T03:35:29.7370730,KZ8A-003,80.38,58.67,0.708,25.82,90,A
2026-04-05T03:35:42.7596010,KZ8A-003,83.95,46.43,0.644,23.40,88,B
2026-04-05T03:35:47.7601900,KZ8A-003,83.65,46.42,0.648,23.55,88,B
2026-04-05T03:35:52.7603090,KZ8A-003,83.83,46.62,0.650,23.61,88,B
2026-04-05T03:35:57.7600100,KZ8A-003,83.20,46.91,0.653,23.73,88,B
2026-04-05T03:36:02.7599770,KZ8A-003,82.17,46.63,0.653,23.60,88,B
2026-04-05T03:36:07.7806400,KZ8A-003,80.76,46.62,0.648,23.56,88,B
2026-04-05T03:36:12.7590920,KZ8A-003,80.64,46.52,0.650,23.47,88,B
2026-04-05T03:36:17.7595100,KZ8A-003,79.54,46.32,0.648,23.58,88,B
2026-04-05T03:36:22.7597080,KZ8A-003,79.12,46.39,0.653,23.53,88,B
2026-04-05T03:36:27.7597740,KZ8A-003,79.87,46.33,0.649,23.44,88,B
2026-04-05T03:36:32.7598620,KZ8A-003,78.80,46.59,0.646,23.48,88,B
2026-04-05T03:36:37.7641670,KZ8A-003,79.81,46.61,0.646,23.51,88,B
2026-04-05T03:36:42.7586010,KZ8A-003,80.69,46.73,0.648,23.44,88,B
2026-04-05T03:36:47.7599660,KZ8A-003,82.53,46.74,0.647,23.50,88,B
2026-04-05T03:36:52.7591320,KZ8A-003,82.71,46.72,0.649,23.55,88,B
2026-04-05T03:36:57.7586670,KZ8A-003,83.23,46.87,0.654,23.56,88,B
2026-04-05T03:37:02.7593630,KZ8A-003,82.67,46.93,0.652,23.62,88,B
2026-04-05T03:37:07.7614250,KZ8A-003,82.81,46.85,0.651,23.53,88,B
2026-04-05T03:37:12.7590060,KZ8A-003,83.15,46.92,0.652,23.52,88,B
2026-04-05T03:37:17.7592640,KZ8A-003,84.02,47.15,0.654,23.48,88,B
2026-04-05T03:37:22.7586570,KZ8A-003,85.12,47.00,0.652,23.47,88,B
2026-04-05T03:37:27.7591020,KZ8A-003,84.75,47.16,0.650,23.40,88,B
2026-04-05T03:37:32.7585050,KZ8A-003,85.05,46.99,0.647,23.51,88,B
2026-04-05T03:37:37.7627600,KZ8A-003,86.34,47.09,0.647,23.52,88,B
2026-04-05T03:37:42.7648140,KZ8A-003,84.57,47.01,0.647,23.80,88,B
2026-04-05T03:37:47.7588370,KZ8A-003,83.72,47.13,0.644,23.87,88,B
2026-04-05T03:37:52.7591030,KZ8A-003,84.07,47.10,0.646,23.83,88,B
2026-04-05T03:37:57.7627180,KZ8A-003,84.93,47.34,0.650,23.69,88,B
2026-04-05T03:38:02.7588380,KZ8A-003,86.02,47.32,0.645,23.66,88,B
2026-04-05T03:38:07.7622870,KZ8A-003,85.74,47.56,0.641,23.72,88,B
2026-04-05T03:38:12.7583610,KZ8A-003,86.34,47.73,0.641,23.77,88,B
2026-04-05T03:38:17.7589970,KZ8A-003,86.82,47.45,0.642,23.77,88,B
2026-04-05T03:38:22.7582870,KZ8A-003,85.59,47.65,0.644,23.78,88,B
2026-04-05T03:38:27.7585660,KZ8A-003,85.58,47.62,0.645,23.83,88,B
2026-04-05T03:38:32.7577570,KZ8A-003,85.56,47.74,0.644,23.93,88,B
2026-04-05T03:38:37.7594700,KZ8A-003,85.23,47.75,0.642,23.80,88,B
2026-04-05T03:38:42.7582020,KZ8A-003,84.86,47.74,0.644,23.81,88,B
2026-04-05T03:38:47.7580060,KZ8A-003,84.93,47.76,0.642,23.77,88,B
2026-04-05T03:38:52.7579470,KZ8A-003,84.87,47.81,0.641,23.69,88,B
2026-04-05T03:38:57.7571890,KZ8A-003,85.06,47.83,0.639,23.62,88,B
2026-04-05T03:39:02.7589370,KZ8A-003,85.54,47.83,0.636,23.48,88,B
2026-04-05T03:39:07.7647870,KZ8A-003,86.02,47.82,0.640,23.46,88,B
2026-04-05T03:39:12.7573920,KZ8A-003,87.27,47.78,0.640,23.30,88,B
2026-04-05T03:39:17.7572800,KZ8A-003,86.87,47.65,0.642,23.22,88,B
2026-04-05T03:39:22.7574290,KZ8A-003,86.40,47.73,0.641,23.39,88,B
2026-04-05T03:39:27.7572680,KZ8A-003,87.82,47.89,0.643,23.50,88,B
2026-04-05T03:39:32.7578390,KZ8A-003,88.05,48.01,0.647,23.63,88,B
2026-04-05T03:39:37.7614680,KZ8A-003,86.85,48.02,0.650,23.61,88,B
2026-04-05T03:39:42.7570360,KZ8A-003,87.29,48.18,0.652,23.67,88,B
2026-04-05T03:39:47.7629730,KZ8A-003,88.61,48.20,0.648,23.60,88,B
2026-04-05T03:39:52.8240500,KZ8A-003,88.99,48.15,0.650,23.42,88,B
2026-04-05T03:39:57.7621390,KZ8A-003,87.37,48.11,0.652,23.34,88,B
2026-04-05T03:40:02.7576180,KZ8A-003,86.50,48.17,0.652,23.38,88,B
2026-04-05T03:40:07.7641460,KZ8A-003,85.18,48.44,0.651,23.29,88,B
2026-04-05T03:40:12.7574380,KZ8A-003,85.99,48.94,0.655,23.13,88,B
2026-04-05T03:40:17.7666500,KZ8A-003,85.47,49.25,0.653,23.07,87,B
2026-04-05T03:40:22.8058620,KZ8A-003,87.03,49.36,0.649,23.08,87,B
2026-04-05T03:40:27.7801520,KZ8A-003,86.73,49.35,0.648,23.17,87,B
2026-04-05T03:40:32.7843870,KZ8A-003,85.46,49.23,0.648,23.20,87,B
2026-04-05T03:40:37.7926750,KZ8A-003,86.85,49.24,0.650,23.14,87,B
2026-04-05T03:40:42.7893020,KZ8A-003,85.27,49.19,0.651,23.26,88,B
2026-04-05T03:40:47.7915370,KZ8A-003,84.07,49.47,0.655,23.29,88,B
2026-04-05T03:40:52.7925950,KZ8A-003,83.15,49.64,0.649,23.06,87,B
2026-04-05T03:40:57.7931210,KZ8A-003,83.51,49.49,0.647,23.00,87,B
2026-04-05T03:41:02.7926250,KZ8A-003,83.99,49.36,0.644,23.01,87,B
2026-04-05T03:41:07.7979100,KZ8A-003,84.15,49.39,0.642,23.02,87,B
2026-04-05T03:41:12.7951140,KZ8A-003,82.47,49.19,0.642,22.96,87,B
2026-04-05T03:41:17.7947570,KZ8A-003,82.72,49.10,0.641,22.99,87,B
2026-04-05T03:41:22.7951580,KZ8A-003,81.58,48.95,0.641,22.92,87,B
2026-04-05T03:41:27.7950120,KZ8A-003,82.27,49.07,0.638,22.91,87,B
2026-04-05T03:41:32.7952960,KZ8A-003,82.24,49.16,0.638,22.89,87,B
2026-04-05T03:41:37.7975980,KZ8A-003,82.54,49.04,0.639,23.10,87,B
2026-04-05T03:41:42.7946240,KZ8A-003,82.96,51.88,0.640,23.38,87,B
2026-04-05T03:41:47.7948890,KZ8A-003,83.60,55.63,0.642,23.36,87,B
2026-04-05T03:41:52.7948750,KZ8A-003,83.62,59.54,0.644,23.37,87,B
2026-04-05T03:41:57.7953600,KZ8A-003,83.77,60.09,0.644,23.38,86,B
2026-04-05T03:42:02.7956780,KZ8A-003,85.17,60.04,0.644,23.36,86,B
2026-04-05T03:42:07.8032600,KZ8A-003,87.95,59.95,0.646,23.42,87,B
2026-04-05T03:42:12.7951230,KZ8A-003,88.16,59.98,0.648,23.54,87,B
2026-04-05T03:42:17.7942310,KZ8A-003,87.43,59.90,0.650,23.61,87,B
2026-04-05T03:42:22.7949320,KZ8A-003,86.30,59.61,0.655,23.54,87,B
2026-04-05T03:42:27.7946600,KZ8A-003,87.25,59.55,0.657,23.55,87,B
2026-04-05T03:42:32.7955140,KZ8A-003,86.39,59.21,0.658,23.59,87,B
2026-04-05T03:42:47.6693310,KZ8A-003,66.83,46.94,0.643,25.24,91,A
2026-04-05T03:42:52.6692680,KZ8A-003,66.06,46.91,0.644,25.16,91,A
2026-04-05T03:42:57.6697030,KZ8A-003,66.02,47.04,0.643,25.18,91,A
2026-04-05T03:43:02.6701900,KZ8A-003,66.97,47.02,0.641,25.16,91,A
2026-04-05T03:43:07.6685270,KZ8A-003,66.87,46.92,0.641,25.13,91,A
2026-04-05T03:43:12.6927680,KZ8A-003,67.27,46.74,0.643,25.07,90,A
2026-04-05T03:43:17.6678430,KZ8A-003,67.47,46.69,0.645,24.97,90,A
2026-04-05T03:43:22.6695960,KZ8A-003,69.09,46.63,0.643,24.90,90,A
2026-04-05T03:43:27.6684720,KZ8A-003,69.38,46.89,0.643,24.96,90,A
2026-04-05T03:43:32.6695700,KZ8A-003,69.53,46.86,0.639,25.04,90,A
2026-04-05T03:43:37.6688460,KZ8A-003,70.51,46.94,0.638,25.07,90,A
2026-04-05T03:43:42.6717380,KZ8A-003,69.70,46.87,0.640,25.12,90,A
2026-04-05T03:43:47.6689950,KZ8A-003,70.94,46.78,0.642,25.02,90,A
2026-04-05T03:43:52.6685160,KZ8A-003,72.09,46.83,0.645,25.05,90,A
2026-04-05T03:43:57.6693120,KZ8A-003,71.81,47.10,0.643,24.95,90,A
2026-04-05T03:44:02.6685130,KZ8A-003,71.57,47.39,0.646,24.96,90,A
2026-04-05T03:44:07.6684110,KZ8A-003,73.16,47.31,0.643,24.78,90,A
2026-04-05T03:44:12.6728050,KZ8A-003,73.52,47.26,0.641,24.72,90,A
2026-04-05T03:44:17.6690240,KZ8A-003,73.53,47.25,0.639,24.72,90,A
2026-04-05T03:44:22.6684960,KZ8A-003,73.90,47.53,0.640,24.81,90,A
2026-04-05T03:44:27.6684430,KZ8A-003,74.20,47.35,0.641,24.84,90,A
2026-04-05T03:44:32.6686250,KZ8A-003,73.99,47.32,0.645,24.86,90,A
2026-04-05T03:44:37.6704640,KZ8A-003,74.48,47.31,0.647,24.86,90,A
