Время;ID локомотива;Тип;Скорость, км/ч;Давление тормозной, МПа;Давление главных резервуаров, МПа;Ток ТЭД, А;Пробег рейса, км;Боксование;Кол-во ошибок;Температура масла, °C;Температура ОЖ, °C;Давление масла, МПа;Давление ОЖ, МПа;Уровень топлива, %;Обороты дизеля, об/мин;Моточасы, ч;Давление воздушного фильтра, кПа;Топливо бак 1, %;Топливо бак 2, %;Расход топлива, л/ч;Суммарный расход, л;Режим двигателя;Тяговое усилие ТЭ33А, кН;Температура трансформатора, °C;Температура ТЭД, °C;Температура IGBT, °C;Напряжение КС, кВ;Ток КС, А;Тяговое усилие, кН;Мощность на валу, кВт;cos φ;Давление тормозных цилиндров, МПа;Health Score;Grade
2026-04-05 03:50:09;TE33A-003;TE33A;78.38;0.634;0.790;511.5;1.170;нет;0;77.8;77.3;0.714;0.138;77.2;800;4034.3;96.7;42.6;34.4;152.9;580.3;Optimal;227.9;;;;;;;;;;89;B
2026-04-05 03:50:14;TE33A-003;TE33A;78.68;0.632;0.793;507.0;1.192;нет;0;77.6;77.4;0.717;0.139;77.2;801;4034.3;96.6;42.6;34.6;152.8;580.3;Optimal;227.2;;;;;;;;;;89;B
2026-04-05 03:50:19;TE33A-003;TE33A;77.42;0.631;0.790;495.3;1.213;нет;0;77.5;77.4;0.715;0.138;77.2;803;4034.3;96.6;42.4;34.7;153.2;580.4;Optimal;226.5;;;;;;;;;;89;B
2026-04-05 03:50:24;TE33A-003;TE33A;77.36;0.632;0.791;502.9;1.235;нет;0;77.5;77.3;0.710;0.138;77.2;800;4034.3;96.6;42.4;34.7;152.2;580.4;Optimal;228.3;;;;;;;;;;89;B
2026-04-05 03:50:29;TE33A-003;TE33A;77.71;0.633;0.792;505.1;1.257;нет;0;77.7;77.5;0.705;0.137;77.2;803;4034.3;96.8;42.5;34.8;153.6;580.4;Optimal;227.2;;;;;;;;;;89;B
2026-04-05 03:50:34;TE33A-003;TE33A;78.19;0.634;0.790;513.0;1.278;нет;0;77.6;77.5;0.709;0.138;77.2;805;4034.3;96.6;42.5;34.7;151.4;580.5;Optimal;226.0;;;;;;;;;;89;B
2026-04-05 03:50:39;TE33A-003;TE33A;79.70;0.633;0.792;515.5;1.301;нет;0;77.6;77.5;0.710;0.138;77.2;803;4034.3;96.6;42.6;34.7;152.1;580.5;Optimal;232.4;;;;;;;;;;89;B
2026-04-05 03:50:44;TE33A-003;TE33A;79.62;0.636;0.793;513.4;1.323;нет;0;77.7;77.4;0.710;0.137;77.2;803;4034.3;96.7;42.5;34.7;152.1;580.6;Optimal;232.9;;;;;;;;;;89;B
2026-04-05 03:50:49;TE33A-003;TE33A;79.70;0.637;0.791;520.7;1.345;нет;0;77.7;77.5;0.711;0.138;77.2;805;4034.3;96.6;42.6;34.8;154.1;580.6;Optimal;234.0;;;;;;;;;;89;B
2026-04-05 03:50:54;TE33A-003;TE33A;78.98;0.642;0.790;513.2;1.367;нет;0;77.7;77.5;0.716;0.139;77.2;802;4034.3;96.6;42.7;34.8;152.8;580.7;Optimal;230.4;;;;;;;;;;89;B
2026-04-05 03:50:59;TE33A-003;TE33A;77.81;0.644;0.790;513.2;1.388;нет;0;77.6;77.5;0.714;0.141;77.2;802;4034.3;96.6;42.5;34.6;153.9;580.7;Optimal;226.1;;;;;;;;;;89;B
2026-04-05 03:51:04;TE33A-003;TE33A;78.33;0.645;0.789;509.5;1.410;нет;0;77.8;77.4;0.708;0.141;77.2;799;4034.3;96.6;42.4;34.8;155.3;580.7;Optimal;227.7;;;;;;;;;;89;B
2026-04-05 03:51:09;TE33A-003;TE33A;77.02;0.644;0.790;501.0;1.431;нет;0;77.9;77.2;0.711;0.141;77.2;797;4034.3;96.5;42.4;34.8;153.7;580.8;Optimal;221.1;;;;;;;;;;89;B
2026-04-05 03:51:14;TE33A-003;TE33A;76.38;0.644;0.792;503.9;1.452;нет;0;77.9;77.2;0.712;0.141;77.2;797;4034.3;96.6;42.4;34.9;156.1;580.8;Optimal;218.0;;;;;;;;;;89;B
2026-04-05 03:51:19;TE33A-003;TE33A;77.04;0.645;0.792;506.9;1.474;нет;0;78.2;77.0;0.710;0.142;77.2;800;4034.3;96.6;42.5;34.9;155.1;580.9;Optimal;221.8;;;;;;;;;;89;B
2026-04-05 03:51:24;TE33A-003;TE33A;76.19;0.648;0.793;507.6;1.495;нет;0;78.3;77.2;0.709;0.143;77.2;798;4034.3;96.6;42.4;34.8;149.5;580.9;Optimal;221.3;;;;;;;;;;89;B
2026-04-05 03:51:29;TE33A-003;TE33A;75.12;0.648;0.791;519.7;1.516;нет;0;78.4;77.2;0.712;0.142;77.2;796;4034.3;96.8;42.3;34.8;150.7;581.0;Optimal;220.0;;;;;;;;;;89;B
2026-04-05 03:51:34;TE33A-003;TE33A;75.16;0.647;0.792;521.2;1.536;нет;0;78.4;77.4;0.708;0.142;77.2;793;4034.3;96.9;42.3;34.7;148.8;581.0;Optimal;219.0;;;;;;;;;;89;B
2026-04-05 03:51:39;TE33A-003;TE33A;75.18;0.648;0.789;516.4;1.557;нет;0;78.4;77.1;0.715;0.143;77.2;792;4034.3;96.9;42.5;34.7;150.6;581.0;Optimal;220.3;;;;;;;;;;89;B
2026-04-05 03:51:44;TE33A-003;TE33A;76.13;0.650;0.792;514.8;1.579;нет;0;78.1;77.3;0.717;0.143;77.2;791;4034.3;97.1;42.6;34.7;152.1;581.1;Optimal;221.2;;;;;;;;;;89;B
2026-04-05 03:51:49;TE33A-003;TE33A;75.66;0.650;0.791;515.8;1.599;нет;0;78.0;77.3;0.717;0.142;77.2;791;4034.3;97.1;42.4;34.8;150.2;581.1;Optimal;219.3;;;;;;;;;;89;B
2026-04-05 03:51:54;TE33A-003;TE33A;75.40;0.650;0.791;511.4;1.620;нет;0;78.1;77.1;0.710;0.143;77.2;792;4034.3;97.0;42.5;34.8;152.1;581.2;Optimal;219.3;;;;;;;;;;89;B
2026-04-05 03:51:59;TE33A-003;TE33A;74.88;0.649;0.790;516.3;1.641;нет;0;78.0;77.3;0.714;0.143;77.2;790;4034.3;97.1;42.6;35.0;148.6;581.2;Optimal;218.1;;;;;;;;;;89;B
2026-04-05 03:52:04;TE33A-003;TE33A;75.56;0.656;0.791;514.8;1.662;нет;0;78.2;77.1;0.716;0.142;77.2;792;4034.3;97.3;42.5;34.8;153.3;581.3;Optimal;219.9;;;;;;;;;;89;B
2026-04-05 03:52:09;TE33A-003;TE33A;74.95;0.655;0.792;514.9;1.683;нет;0;78.1;77.1;0.718;0.142;77.2;795;4034.3;97.4;42.4;34.8;152.2;581.3;Optimal;220.6;;;;;;;;;;89;B
2026-04-05 03:52:14;TE33A-003;TE33A;73.47;0.653;0.793;509.2;1.703;да;0;78.2;77.0;0.719;0.141;77.2;795;4034.3;97.5;42.5;34.7;154.0;581.3;Optimal;213.5;;;;;;;;;;89;B
2026-04-05 03:52:19;TE33A-003;TE33A;73.53;0.655;0.794;510.6;1.724;нет;0;78.2;77.2;0.713;0.142;77.2;793;4034.3;97.4;42.6;34.8;153.6;581.4;Optimal;214.5;;;;;;;;;;89;B
2026-04-05 03:52:24;TE33A-003;TE33A;73.41;0.659;0.794;513.8;1.744;нет;0;78.1;77.3;0.714;0.143;77.2;791;4034.3;97.4;42.6;34.8;150.9;581.4;Optimal;214.2;;;;;;;;;;89;B
2026-04-05 03:52:29;TE33A-003;TE33A;72.20;0.660;0.794;508.4;1.764;нет;0;78.1;77.2;0.718;0.143;77.2;791;4034.3;97.3;42.7;34.6;147.3;581.5;Optimal;210.6;;;;;;;;;;89;B
2026-04-05 03:52:34;TE33A-003;TE33A;72.79;0.660;0.794;506.6;1.785;нет;0;78.0;77.2;0.710;0.142;77.2;793;4034.3;97.3;42.7;34.6;149.4;581.5;Optimal;210.9;;;;;;;;;;89;B
2026-04-05 03:52:39;TE33A-003;TE33A;73.79;0.658;0.793;503.6;1.805;нет;0;77.9;77.4;0.710;0.143;77.2;789;4034.3;97.5;42.7;34.5;150.1;581.5;Optimal;213.4;;;;;;;;;;89;B
2026-04-05 03:52:44;TE33A-003;TE33A;74.21;0.659;0.793;503.9;1.826;нет;0;77.6;77.4;0.714;0.144;77.2;787;4034.3;97.5;42.5;34.5;148.8;581.6;Optimal;214.3;;;;;;;;;;89;B
2026-04-05 03:52:49;TE33A-003;TE33A;75.17;0.657;0.794;503.5;1.847;нет;0;77.6;77.4;0.714;0.145;77.2;784;4034.3;97.4;42.3;34.6;147.5;581.6;Optimal;218.6;;;;;;;;;;89;B
2026-04-05 03:52:54;TE33A-003;TE33A;74.22;0.663;0.796;506.2;1.868;нет;0;77.6;77.4;0.712;0.146;77.2;781;4034.3;97.2;42.4;34.8;147.7;581.7;Optimal;216.1;;;;;;;;;;89;B
2026-04-05 03:52:59;TE33A-003;TE33A;73.58;0.663;0.793;498.1;1.888;нет;0;77.5;77.2;0.715;0.145;77.2;778;4034.3;97.1;42.5;35.0;147.6;581.7;Optimal;215.5;;;;;;;;;;89;B
2026-04-05 03:53:04;TE33A-003;TE33A;74.26;0.663;0.791;497.7;1.909;нет;0;77.5;77.4;0.713;0.146;77.2;776;4034.3;97.2;42.4;34.8;148.3;581.7;Optimal;216.8;;;;;;;;;;89;B
2026-04-05 03:53:09;TE33A-003;TE33A;72.95;0.662;0.790;489.2;1.929;нет;0;77.5;77.4;0.715;0.145;77.2;777;4034.3;97.3;42.4;34.9;150.1;581.8;Optimal;213.8;;;;;;;;;;89;B
2026-04-05 03:53:14;TE33A-003;TE33A;72.95;0.664;0.791;487.4;1.949;нет;0;77.5;77.5;0.716;0.145;77.2;776;4034.3;97.1;42.4;34.8;145.7;581.8;Optimal;211.4;;;;;;;;;;89;B
2026-04-05 03:53:19;TE33A-003;TE33A;73.97;0.665;0.793;487.5;1.970;нет;0;77.5;77.5;0.714;0.147;77.2;774;4034.3;97.1;42.6;34.9;146.5;581.9;Optimal;215.5;;;;;;;;;;89;B
2026-04-05 03:53:24;TE33A-003;TE33A;74.47;0.665;0.792;490.0;1.991;нет;0;77.4;77.6;0.715;0.145;77.2;775;4034.3;97.0;42.3;34.9;147.2;581.9;Optimal;219.8;;;;;;;;;;89;B
2026-04-05 03:53:29;TE33A-003;TE33A;73.84;0.662;0.792;483.6;2.011;нет;0;77.5;77.4;0.716;0.144;77.2;774;4034.3;97.1;42.3;34.8;147.6;582.0;Optimal;216.5;;;;;;;;;;89;B
2026-04-05 03:53:34;TE33A-003;TE33A;74.13;0.666;0.793;486.7;2.031;нет;0;77.7;77.5;0.717;0.145;77.2;776;4034.3;97.1;42.3;34.7;146.9;582.0;Optimal;216.0;;;;;;;;;;89;B
2026-04-05 03:53:39;TE33A-003;TE33A;73.95;0.662;0.795;486.9;2.052;нет;0;77.7;77.5;0.712;0.145;77.2;773;4034.3;97.1;42.3;34.8;146.7;582.0;Optimal;216.6;;;;;;;;;;89;B
2026-04-05 03:53:44;TE33A-003;TE33A;72.70;0.661;0.794;488.7;2.072;нет;0;77.7;77.5;0.712;0.142;77.2;771;4034.3;97.1;42.3;34.8;145.2;582.1;Optimal;212.8;;;;;;;;;;89;B
2026-04-05 03:53:49;TE33A-003;TE33A;72.24;0.659;0.795;494.5;2.092;нет;0;77.7;77.5;0.709;0.141;77.2;775;4034.3;97.1;42.4;34.7;148.5;582.1;Optimal;207.3;;;;;;;;;;89;B
2026-04-05 03:53:54;TE33A-003;TE33A;73.11;0.660;0.796;489.3;2.112;нет;0;77.7;77.7;0.707;0.141;77.2;771;4034.3;97.1;42.3;34.6;146.5;582.2;Optimal;213.5;;;;;;;;;;89;B
2026-04-05 03:53:59;TE33A-003;TE33A;70.74;0.661;0.794;489.4;2.132;нет;0;77.6;77.6;0.707;0.141;77.2;771;4034.3;97.1;42.3;34.7;146.6;582.2;Optimal;206.5;;;;;;;;;;89;B
2026-04-05 03:54:04;TE33A-003;TE33A;69.41;0.663;0.793;482.2;2.151;нет;0;77.7;77.5;0.707;0.141;77.2;768;4034.3;97.2;42.3;34.7;145.5;582.2;Optimal;198.8;;;;;;;;;;89;B
2026-04-05 03:54:09;TE33A-003;TE33A;69.61;0.659;0.792;481.7;2.170;нет;0;77.7;77.5;0.701;0.140;77.2;768;4034.3;97.3;42.3;34.8;145.2;582.3;Optimal;202.0;;;;;;;;;;89;B
2026-04-05 03:54:14;TE33A-003;TE33A;70.58;0.657;0.792;484.5;2.190;нет;0;77.4;77.6;0.706;0.140;77.2;766;4034.3;97.3;42.5;34.7;146.4;582.3;Optimal;206.2;;;;;;;;;;89;B
2026-04-05 03:54:19;TE33A-003;TE33A;70.36;0.652;0.792;474.2;2.210;нет;0;77.5;77.6;0.711;0.141;77.2;765;4034.3;97.2;42.4;34.8;145.5;582.4;Optimal;207.2;;;;;;;;;;89;B
2026-04-05 03:54:24;TE33A-003;TE33A;70.80;0.654;0.792;466.3;2.229;нет;0;77.2;77.6;0.710;0.140;77.2;765;4034.3;97.2;42.5;34.7;146.9;582.4;Optimal;207.0;;;;;;;;;;89;B
2026-04-05 03:54:29;TE33A-003;TE33A;71.70;0.656;0.790;462.5;2.249;нет;0;77.1;77.6;0.715;0.140;77.2;766;4034.3;97.1;42.5;34.8;147.0;582.4;Optimal;210.8;;;;;;;;;;89;B
2026-04-05 03:54:34;TE33A-003;TE33A;71.72;0.658;0.788;467.3;2.269;нет;0;76.9;77.8;0.718;0.142;77.2;765;4034.3;97.2;42.4;34.9;146.1;582.5;Optimal;209.1;;;;;;;;;;89;B
2026-04-05 03:54:39;TE33A-003;TE33A;72.55;0.657;0.787;473.1;2.289;нет;0;76.6;77.8;0.720;0.145;77.2;760;4034.3;97.2;42.3;34.7;144.1;582.5;Optimal;209.6;;;;;;;;;;89;B
2026-04-05 03:54:44;TE33A-003;TE33A;72.34;0.656;0.785;467.5;2.309;нет;0;76.4;77.8;0.718;0.144;77.2;761;4034.3;97.2;42.3;34.9;143.9;582.6;Optimal;210.0;;;;;;;;;;89;B
2026-04-05 03:54:49;TE33A-003;TE33A;72.60;0.657;0.785;464.4;2.330;нет;0;76.4;77.8;0.716;0.144;77.2;760;4034.3;97.0;42.5;34.8;145.5;582.6;Optimal;211.8;;;;;;;;;;89;B
2026-04-05 03:54:54;TE33A-003;TE33A;72.16;0.657;0.783;470.8;2.350;нет;0;76.3;77.8;0.714;0.144;77.2;760;4034.3;97.0;42.4;34.7;144.6;582.6;Optimal;209.5;;;;;;;;;;89;B
2026-04-05 03:54:59;TE33A-003;TE33A;72.44;0.659;0.783;468.6;2.370;нет;0;76.3;77.9;0.716;0.144;77.2;760;4034.3;97.0;42.5;34.8;142.6;582.7;Optimal;211.0;;;;;;;;;;89;B
2026-04-05 03:55:04;TE33A-003;TE33A;73.15;0.656;0.783;474.2;2.390;нет;0;76.3;77.9;0.720;0.144;77.2;764;4034.3;97.1;42.3;34.7;144.5;582.7;Optimal;214.4;;;;;;;;;;89;B
2026-04-05 03:55:09;TE33A-003;TE33A;74.03;0.652;0.783;469.8;2.411;нет;0;76.3;77.8;0.721;0.143;77.2;766;4034.3;97.1;42.4;34.6;145.9;582.8;Optimal;217.3;;;;;;;;;;89;B
2026-04-05 03:55:14;TE33A-003;TE33A;74.27;0.656;0.785;470.6;2.431;нет;0;76.3;77.7;0.716;0.144;77.2;767;4034.3;97.3;42.3;34.6;147.7;582.8;Optimal;213.2;;;;;;;;;;89;B
2026-04-05 03:55:19;TE33A-003;TE33A;74.07;0.656;0.784;468.6;2.452;нет;0;76.2;77.8;0.718;0.144;77.2;767;4034.3;97.1;42.5;34.6;146.3;582.8;Optimal;215.0;;;;;;;;;;89;B
2026-04-05 03:55:24;TE33A-003;TE33A;73.72;0.657;0.782;471.5;2.472;нет;0;76.3;78.0;0.717;0.143;77.2;769;4034.3;97.1;42.5;34.6;145.8;582.9;Optimal;217.0;;;;;;;;;;89;B
2026-04-05 03:55:29;TE33A-003;TE33A;73.84;0.658;0.780;479.3;2.493;нет;0;76.2;77.8;0.715;0.142;77.2;767;4034.3;97.1;42.5;34.7;146.0;582.9;Optimal;216.5;;;;;;;;;;89;B
2026-04-05 03:55:34;TE33A-003;TE33A;73.79;0.661;0.781;477.0;2.513;нет;0;76.2;78.0;0.715;0.141;77.2;771;4034.3;97.2;42.5;34.7;145.2;583.0;Optimal;213.2;;;;;;;;;;89;B
2026-04-05 03:55:39;TE33A-003;TE33A;75.35;0.661;0.781;475.4;2.534;нет;0;75.9;78.1;0.718;0.142;77.2;770;4034.3;97.2;42.6;34.7;145.6;583.0;Optimal;217.5;;;;;;;;;;89;B
2026-04-05 03:55:44;TE33A-003;TE33A;74.62;0.665;0.781;474.6;2.555;нет;0;75.9;77.9;0.713;0.144;77.2;769;4034.3;97.0;42.4;34.7;146.4;583.0;Optimal;218.6;;;;;;;;;;89;B
2026-04-05 03:55:49;TE33A-003;TE33A;75.34;0.665;0.780;474.2;2.576;нет;0;76.0;78.0;0.719;0.145;77.2;769;4034.3;97.0;42.3;34.8;148.0;583.1;Optimal;217.5;;;;;;;;;;89;B
2026-04-05 03:55:54;TE33A-003;TE33A;75.52;0.665;0.779;476.0;2.597;нет;0;75.8;78.0;0.715;0.145;77.2;770;4034.3;96.9;42.4;34.5;146.7;583.1;Optimal;220.6;;;;;;;;;;89;B
2026-04-05 03:55:59;TE33A-003;TE33A;76.85;0.663;0.780;479.2;2.619;нет;0;75.8;78.0;0.716;0.146;77.2;770;4034.3;97.1;42.3;34.6;147.9;583.2;Optimal;224.0;;;;;;;;;;89;B
2026-04-05 03:56:04;TE33A-003;TE33A;77.00;0.666;0.781;478.1;2.640;нет;0;76.0;77.9;0.715;0.144;77.2;772;4034.3;97.0;42.4;34.7;147.2;583.2;Optimal;221.4;;;;;;;;;;89;B
2026-04-05 03:56:09;TE33A-003;TE33A;76.88;0.666;0.781;476.7;2.661;нет;0;76.0;78.1;0.711;0.144;77.2;775;4034.3;96.9;42.5;34.8;143.3;583.3;Optimal;218.4;;;;;;;;;;89;B
2026-04-05 03:56:14;TE33A-003;TE33A;75.72;0.667;0.779;486.9;2.682;нет;0;76.0;78.2;0.720;0.143;77.2;777;4034.3;96.8;42.5;34.5;146.1;583.3;Optimal;218.3;;;;;;;;;;89;B
2026-04-05 03:56:19;TE33A-003;TE33A;76.51;0.662;0.780;483.4;2.704;нет;0;75.9;78.1;0.712;0.142;77.2;775;4034.3;96.7;42.6;34.8;147.2;583.3;Optimal;220.8;;;;;;;;;;89;B
2026-04-05 03:56:24;TE33A-003;TE33A;75.60;0.662;0.780;476.0;2.725;нет;0;75.9;78.2;0.712;0.142;77.2;773;4034.3;96.7;42.3;34.7;148.5;583.4;Optimal;220.5;;;;;;;;;;89;B
2026-04-05 03:56:29;TE33A-003;TE33A;76.27;0.662;0.778;483.0;2.746;нет;0;75.7;78.2;0.717;0.139;77.2;773;4034.3;96.6;42.6;34.6;145.4;583.4;Optimal;221.5;;;;;;;;;;89;B
2026-04-05 03:56:34;TE33A-003;TE33A;74.57;0.664;0.778;478.8;2.766;нет;0;75.8;78.2;0.716;0.139;77.2;773;4034.3;96.8;42.5;34.7;148.4;583.5;Optimal;217.5;;;;;;;;;;89;B
2026-04-05 03:56:39;TE33A-003;TE33A;74.91;0.662;0.778;486.1;2.787;нет;0;75.8;78.1;0.715;0.139;77.2;774;4034.3;96.8;42.3;34.6;148.4;583.5;Optimal;220.4;;;;;;;;;;89;B
2026-04-05 03:56:44;TE33A-003;TE33A;75.13;0.658;0.779;483.7;2.808;нет;0;75.5;78.1;0.719;0.136;77.2;774;4034.3;96.8;42.4;34.7;148.4;583.5;Optimal;221.0;;;;;;;;;;89;B
2026-04-05 03:56:49;TE33A-003;TE33A;74.00;0.658;0.780;482.8;2.829;да;0;75.4;78.1;0.718;0.137;77.2;775;4034.3;96.6;42.3;34.8;147.2;583.6;Optimal;215.7;;;;;;;;;;89;B
2026-04-05 03:56:54;TE33A-003;TE33A;74.50;0.662;0.780;485.2;2.850;нет;0;75.2;78.2;0.718;0.138;77.2;779;4034.3;96.4;42.2;34.8;148.6;583.6;Optimal;220.7;;;;;;;;;;89;B
2026-04-05 03:56:59;TE33A-003;TE33A;73.79;0.665;0.781;484.6;2.870;нет;0;75.2;78.2;0.719;0.138;77.2;779;4034.3;96.3;42.4;34.8;144.7;583.7;Optimal;217.6;;;;;;;;;;89;B
2026-04-05 03:57:04;TE33A-003;TE33A;73.18;0.666;0.781;490.2;2.890;нет;0;75.1;78.1;0.724;0.136;77.2;774;4034.3;96.1;42.4;34.6;146.7;583.7;Optimal;214.9;;;;;;;;;;89;B
2026-04-05 03:57:09;TE33A-003;TE33A;74.01;0.661;0.782;495.1;2.911;нет;0;75.3;78.0;0.718;0.137;77.1;773;4034.3;96.0;42.4;34.9;146.5;583.7;Optimal;216.7;;;;;;;;;;89;B
2026-04-05 03:57:14;TE33A-003;TE33A;72.95;0.657;0.784;489.0;2.931;нет;0;75.5;78.2;0.715;0.138;77.1;773;4034.3;96.0;42.4;34.8;144.3;583.8;Optimal;215.2;;;;;;;;;;89;B
